timestamp;yaw;pitch;roll
34365;179.82;0.69;-0.23
34413;179.55;1.35;-0.38
34465;179.09;2.26;-0.54
34513;178.75;2.83;-0.47
34565;178.24;3.63;-0.42
34613;177.75;3.71;-0.36
34665;177.13;3.82;-0.34
34713;176.62;3.49;-0.45
34765;176.13;3.53;-0.59
34816;175.75;3.44;-0.67
34863;175.40;3.19;-0.79
34915;174.94;2.89;-0.80
34963;174.62;2.63;-0.66
35015;174.20;2.91;-0.78
35063;173.89;2.68;-0.83
35115;173.49;2.55;-0.84
35163;173.20;2.65;-0.76
35215;172.81;2.58;-0.81
35263;172.53;2.66;-0.85
35317;172.16;2.59;-0.88
35363;171.86;2.54;-0.88
35415;171.52;2.60;-0.93
35463;171.26;2.61;-0.74
35515;170.88;2.57;-1.02
35563;170.62;2.44;-0.88
35615;170.26;2.47;-0.90
35663;169.99;2.46;-0.86
35715;169.63;2.56;-0.78
35763;169.36;2.35;-0.90
35817;169.00;2.62;-0.88
35863;168.72;2.43;-0.90
35915;168.37;2.57;-0.84
35963;168.11;2.58;-0.74
36015;167.73;2.66;-0.91
36063;167.46;2.58;-0.90
36115;167.10;2.52;-0.84
36163;166.83;2.58;-0.85
36215;166.46;2.62;-0.87
36263;166.20;2.56;-0.77
36317;165.82;2.46;-1.01
36363;165.52;2.57;-0.99
36415;165.18;2.48;-1.06
36463;164.92;2.39;-0.87
36515;164.55;2.38;-0.96
36563;164.29;2.64;-0.98
36615;163.92;2.45;-0.96
36663;163.66;2.58;-0.91
36715;163.29;2.58;-0.93
36763;163.03;2.55;-0.92
36817;162.67;2.50;-0.90
36863;162.39;2.53;-0.89
36915;162.05;2.38;-0.84
36963;161.78;2.50;-1.00
37015;161.42;2.43;-0.92
37063;161.15;2.58;-0.94
37115;160.79;2.48;-1.01
37163;160.53;2.36;-0.95
37215;160.16;2.52;-0.96
37263;159.90;2.64;-0.90
37317;159.53;2.44;-0.97
37363;159.26;2.39;-0.90
37413;158.96;2.58;-0.95
37465;158.59;2.51;-1.05
37513;158.33;2.43;-1.00
37565;157.97;2.44;-0.93
37613;157.71;2.57;-1.01
37665;157.35;2.58;-0.90
37713;157.08;2.46;-1.03
37765;156.71;2.52;-0.96
37816;156.45;2.36;-0.98
37863;156.13;2.54;-1.06
37915;155.77;2.41;-0.94
37963;155.51;2.48;-0.91
38015;155.15;2.41;-0.87
38063;154.88;2.50;-0.95
38115;154.52;2.48;-0.88
38163;154.25;2.55;-0.94
38215;153.89;2.48;-0.96
38263;153.63;2.53;-0.92
38317;153.26;2.59;-0.99
38363;152.99;2.55;-1.06
38413;152.69;2.45;-0.97
38465;152.33;2.44;-0.89
38513;152.07;2.52;-0.92
38565;151.67;3.12;-1.35
38613;151.33;2.84;-1.29
38665;150.95;2.51;-1.06
38713;150.62;2.74;-1.25
38765;150.19;2.48;-1.20
38816;149.88;2.60;-1.40
38863;149.52;2.38;-1.47
38915;149.15;2.19;-1.20
38963;148.88;2.34;-1.29
39015;148.52;2.25;-1.22
39063;148.25;2.34;-1.24
39115;147.91;2.23;-1.02
39163;147.66;2.15;-1.12
39215;147.32;2.26;-1.16
39263;147.09;2.30;-1.16
39317;146.75;2.23;-1.04
39363;146.54;2.51;-1.05
39415;146.26;2.52;-1.05
39463;146.04;2.67;-1.02
39515;145.73;2.85;-0.98
39563;145.48;2.73;-1.18
39615;145.10;2.97;-1.26
39663;144.80;3.03;-1.17
39715;144.31;2.96;-1.42
39763;144.00;2.88;-1.50
39817;143.67;2.64;-1.38
39863;143.42;3.20;-1.59
39915;143.03;3.02;-1.60
39963;142.72;2.79;-1.44
40015;142.24;2.70;-1.75
40063;141.89;2.60;-1.65
40113;141.37;2.96;-2.21
40165;140.98;2.60;-2.11
40213;140.78;2.62;-1.93
40265;140.33;2.80;-2.12
40316;139.80;3.11;-2.47
40363;138.45;3.41;-3.77
40415;135.50;1.92;-4.34
40463;133.44;-5.44;-6.64
40515;132.08;-20.70;-12.56
40563;134.68;-31.43;-21.37
40615;142.69;-41.65;-30.43
40663;145.96;-45.57;-33.36
40715;150.86;-48.29;-37.76
40763;155.52;-51.08;-42.26
40817;168.02;-55.26;-55.44
40863;181.57;-57.78;-69.57
40915;200.82;-57.61;-89.32
40963;215.84;-54.46;-105.30
41015;225.67;-48.75;-131.57
41063;225.33;-49.34;-130.70
41115;225.25;-49.93;-132.94
41163;225.30;-50.04;-132.66
41215;225.57;-50.30;-132.72
41263;225.48;-50.47;-132.59
41318;225.16;-50.65;-132.48
41363;225.05;-50.77;-132.37
41415;224.74;-50.95;-132.18
41463;224.44;-51.09;-132.00
41515;224.18;-51.26;-131.83
41563;223.96;-51.43;-131.74
41615;223.57;-51.54;-131.42
41663;223.24;-51.53;-131.16
41715;222.74;-51.32;-130.87
41763;222.27;-50.61;-130.64
41818;220.00;-48.50;-129.09
41863;216.64;-45.03;-126.34
41915;209.41;-37.67;-121.61
41963;202.04;-28.39;-118.40
42015;189.49;-12.72;-125.15
42063;185.96;-7.64;-141.38
42115;198.16;-8.55;-148.63
42163;205.54;-10.70;-155.21
42215;218.55;-15.30;-164.27
42263;229.12;-17.85;-171.82
42318;241.49;-17.89;179.41
42363;251.54;-17.03;170.48
42415;262.29;-11.49;162.52
42463;265.41;-4.80;160.13
42515;256.54;-3.57;165.93
42563;250.94;-5.65;168.58
42615;249.26;-5.38;168.97
42663;249.24;-5.26;169.27
42715;249.45;-4.91;169.63
42763;249.52;-5.00;169.53
42817;249.67;-5.11;169.29
42863;249.86;-5.06;169.27
42915;250.24;-4.81;169.21
42963;250.37;-4.64;169.15
43015;250.52;-4.46;169.12
43063;250.53;-4.37;169.14
43115;250.35;-4.24;169.10
43163;249.94;-4.18;169.02
43213;249.00;-4.02;168.99
43265;245.34;-3.87;169.80
43316;238.64;-4.32;172.11
43363;225.06;-4.18;176.07
43415;203.03;-4.59;175.51
43463;203.58;-5.85;171.05
43515;210.18;-6.56;169.62
43563;216.81;-8.09;166.57
43615;229.27;-10.54;160.67
43663;239.46;-7.61;155.54
43715;252.11;-0.22;149.77
43763;260.91;6.38;147.27
43817;269.79;13.17;146.75
43863;274.82;15.54;147.97
43915;272.21;21.25;152.41
43963;257.90;28.56;150.42
44015;254.98;25.20;154.21
44063;253.27;25.21;152.64
44115;252.92;25.24;151.49
44163;252.94;24.45;149.98
44215;253.33;23.21;148.19
44263;253.77;22.23;146.94
44318;254.73;20.57;145.28
44363;255.40;19.97;144.11
44415;255.55;20.18;143.56
44463;255.45;20.43;143.53
44515;254.69;20.57;143.23
44563;253.96;20.39;143.14
44615;252.45;19.14;142.24
44663;250.32;18.50;141.18
44715;245.81;15.72;140.28
44763;240.95;11.06;138.52
44817;230.74;3.00;131.82
44863;226.62;1.69;131.72
44915;227.04;3.54;133.03
44963;228.44;4.70;129.06
45015;230.07;7.88;124.84
45063;229.55;13.56;122.03
45113;229.72;21.73;119.39
45165;234.56;29.23;119.91
45213;239.79;33.97;121.53
45265;246.07;40.94;122.06
45316;253.45;48.70;122.55
45363;262.97;58.33;128.77
45415;261.14;61.54;123.96
45463;255.13;59.38;121.89
45515;241.00;38.72;110.25
45563;236.02;36.87;113.62
45615;234.62;36.17;113.87
45663;233.89;36.14;113.62
45715;233.11;36.56;113.68
45763;232.82;36.82;113.59
45818;232.62;37.28;113.32
45863;232.28;37.60;112.83
45915;231.82;37.28;112.18
45963;230.55;35.28;111.49
46015;225.43;25.77;111.02
46063;218.35;11.38;111.08
46115;207.40;-15.24;111.63
46163;205.87;-14.96;109.30
46215;208.31;-5.35;105.50
46263;212.05;5.45;99.88
46318;217.05;24.08;96.76
46363;220.66;37.83;94.07
46415;227.46;55.91;91.72
46463;237.51;69.66;96.01
46515;229.51;77.44;85.91
46563;216.88;72.30;73.89
46615;217.25;57.93;80.16
46663;217.55;49.77;81.22
46715;215.43;48.33;81.81
46763;214.56;48.29;81.27
46817;214.40;48.30;80.64
46863;214.42;48.28;80.20
46915;214.19;48.19;79.67
46963;213.91;48.12;79.29
47013;213.71;47.98;78.86
47065;213.48;47.74;78.34
47113;213.23;47.25;77.79
47165;213.40;44.54;77.68
47213;213.98;39.78;78.83
47265;216.09;26.35;81.64
47316;219.42;10.24;81.79
47363;222.08;-2.91;77.19
47415;217.22;0.15;76.96
47463;212.35;5.93;73.00
47515;205.16;19.39;66.93
47563;199.37;30.52;61.12
47615;187.39;46.50;47.31
47663;175.49;56.75;32.85
47715;147.55;64.12;4.17
47763;134.70;60.61;-9.47
47817;145.50;54.60;-0.50
47863;165.46;50.40;17.80
47915;176.14;46.08;27.85
47963;176.51;44.64;29.97
48013;176.18;44.16;29.96
48065;175.58;44.44;28.96
48113;175.14;44.50;28.36
48165;174.26;44.13;27.62
48213;173.67;43.77;27.12
48265;173.10;43.01;26.95
48316;172.93;42.41;26.83
48363;172.67;41.52;26.91
48415;172.78;40.51;27.05
48463;173.21;39.65;27.35
48515;175.48;36.78;29.05
48563;182.30;31.49;34.53
48615;194.25;15.64;46.59
48663;202.66;1.03;51.89
48715;202.56;1.74;52.77
48763;202.18;6.90;53.18
48817;198.48;19.20;51.75
48863;193.39;31.18;48.97
48915;183.88;46.31;41.89
48963;171.07;55.14;29.68
49013;151.12;59.91;5.85
49065;131.73;57.34;-15.62
49113;126.74;54.10;-22.56
49165;144.15;51.70;-2.52
49213;157.09;50.17;8.77
49265;163.39;48.75;15.89
49316;163.77;47.89;16.66
49363;163.35;47.41;16.31
49415;162.67;47.38;15.34
49463;162.12;47.29;14.65
49515;161.41;46.96;13.81
49563;161.19;46.79;13.32
49615;161.19;46.43;13.05
49663;161.30;45.95;13.10
49715;161.31;44.85;13.42
49763;161.59;44.16;13.63
49818;162.76;42.79;14.63
49863;166.15;41.07;16.78
49915;177.69;35.96;26.27
49963;190.32;27.77;35.48
50013;208.50;12.91;43.57
50065;210.54;10.40;42.38
50113;205.48;13.74;41.01
50165;194.49;20.88;33.09
50213;183.08;26.88;25.52
50265;164.28;33.09;10.35
50316;149.03;35.36;-3.75
50363;133.18;37.64;-18.41
50415;116.52;32.72;-27.84
50463;117.88;31.31;-28.62
50515;135.11;32.04;-14.41
50563;145.20;33.45;-7.44
50615;149.55;33.03;-3.26
50663;149.84;32.31;-2.63
50715;149.64;31.66;-2.66
50763;149.54;31.42;-2.94
50818;149.43;31.06;-3.29
50863;149.46;30.75;-3.51
50915;149.80;30.13;-3.42
50963;150.13;29.58;-3.19
51015;150.53;28.82;-2.83
51063;151.07;28.15;-2.43
51115;153.82;27.11;-1.42
51163;159.26;26.63;1.54
51215;174.47;23.21;11.40
51263;191.42;17.15;20.72
51317;208.97;11.29;22.18
51363;203.23;11.90;21.80
51415;193.27;14.79;15.85
51463;182.35;17.43;11.18
51515;164.91;22.49;3.00
51563;151.17;24.95;-4.47
51615;135.38;25.47;-16.15
51663;123.52;23.01;-24.91
51715;112.72;18.14;-33.25
51763;124.13;20.33;-23.74
51817;138.34;23.91;-16.09
51863;141.06;23.37;-11.56
51915;141.98;22.39;-10.09
51963;141.76;21.93;-10.06
52015;141.69;21.63;-10.16
52063;141.59;21.33;-10.20
52115;141.43;20.89;-10.35
52163;141.42;20.58;-10.33
52215;141.53;20.17;-10.21
52263;141.76;19.88;-10.00
52317;142.45;19.43;-9.44
52363;143.60;19.14;-8.84
52415;148.98;19.45;-7.20
52463;158.01;20.23;-3.35
52515;178.81;19.30;6.89
52563;197.27;17.28;13.67
52615;196.11;16.96;12.91
52663;189.88;16.62;9.76
52715;175.95;15.50;1.35
52763;163.48;14.34;-4.44
52817;145.90;12.14;-14.07
52863;131.79;8.77;-22.26
52913;118.23;7.83;-30.29
52965;104.64;1.51;-28.59
53013;109.32;0.59;-28.89
53065;124.49;8.87;-29.99
53113;131.40;12.46;-26.55
53165;133.04;12.05;-23.93
53213;133.44;11.75;-23.03
53265;133.29;11.58;-22.75
53316;132.98;11.40;-22.71
53363;132.30;11.15;-22.97
53415;131.62;10.87;-22.93
53463;131.22;10.69;-22.84
53515;131.25;10.41;-22.22
53563;131.68;10.07;-21.41
53615;132.95;9.64;-20.11
53663;134.05;9.59;-19.33
