frame,yaw,pitch,roll
0,0.000,1.372,6.072
1,0.530,3.603,5.916
2,1.056,5.758,5.724
3,1.574,7.808,5.507
4,2.080,9.725,5.277
5,2.569,11.484,5.044
6,3.038,13.064,4.816
7,3.484,14.450,4.602
8,3.902,15.629,4.408
9,4.289,16.594,4.236
10,4.643,17.342,4.090
11,4.961,17.874,3.970
12,5.240,18.196,3.873
13,5.478,18.318,3.795
14,5.673,18.252,3.731
15,5.823,18.015,3.674
16,5.928,17.624,3.616
17,5.987,17.098,3.547
18,5.999,16.459,3.458
19,5.963,15.727,3.340
20,5.881,14.923,3.183
21,5.754,14.066,2.978
22,5.581,13.173,2.717
23,5.364,12.261,2.396
24,5.105,11.342,2.009
25,4.807,10.428,1.554
26,4.471,9.526,1.030
27,4.100,8.640,0.441
28,3.696,7.773,-0.211
29,3.264,6.922,-0.918
30,2.806,6.084,-1.671
31,2.327,5.253,-2.459
32,1.829,4.422,-3.270
33,1.317,3.581,-4.089
34,0.794,2.720,-4.902
35,0.265,1.830,-5.691
36,-0.265,0.902,-6.441
37,-0.794,-0.073,-7.135
38,-1.317,-1.102,-7.759
39,-1.829,-2.188,-8.296
40,-2.327,-3.335,-8.735
41,-2.806,-4.541,-9.063
42,-3.264,-5.802,-9.272
43,-3.696,-7.112,-9.355
44,-4.100,-8.458,-9.308
45,-4.471,-9.829,-9.130
46,-4.807,-11.207,-8.822
47,-5.105,-12.572,-8.388
48,-5.364,-13.903,-7.837
49,-5.581,-15.176,-7.178
50,-5.754,-16.367,-6.422
51,-5.881,-17.452,-5.585
52,-5.963,-18.404,-4.681
53,-5.999,-19.200,-3.727
54,-5.987,-19.817,-2.742
55,-5.928,-20.236,-1.743
56,-5.823,-20.439,-0.748
57,-5.673,-20.413,0.225
58,-5.478,-20.148,1.161
59,-5.240,-19.637,2.044
60,-4.961,-18.882,2.861
61,-4.643,-17.885,3.601
62,-4.289,-16.655,4.255
63,-3.902,-15.206,4.818
64,-3.484,-13.556,5.285
65,-3.038,-11.728,5.656
66,-2.569,-9.746,5.931
67,-2.080,-7.641,6.114
68,-1.574,-5.443,6.211
69,-1.056,-3.185,6.230
70,-0.530,-0.902,6.181
71,0.000,1.372,6.072
